あ A
あきえ Akie
あきお Akio
あきおう Akiou
あきか Akika
あきかず Akikazu
あきかな Akikana
あきき Akiki
あきこ Akiko
あきさ Akisa
あきじ Akiji
あきすず Akisuzu
あきすみ Akisumi
あきせ Akise
あきちよ Akichiyo
あきつ Akitsu
あきつこ Akitsuko
あきづき Akidzuki
あきと Akito
あきな Akina
あきなあい Akinaai
あきなる Akinaru
あきね Akine
あきの Akino
あきは Akiha
あきば Akiba
あきひ Akihi
あきひこ Akihiko
あきひめ Akihime
あきふみ Akifumi
あきほ Akiho
あきほし Akihoshi
あきみ Akimi
あきむ Akimu
あきめ Akime
あきや Akiya
あきゆ Akiyu
あきよ Akiyo
あきよう Akiyou
あきよし Akiyoshi
あきら Akira
あきらか Akiraka
あきらけいこ Akirakeiko
あきらこ Akirako
あきり Akiri
あきりん Akirin
あきる Akiru
あきわ Akiwa
あきーしゃ Aki-sha
あぎ Agi
あぎょく Agyoku
あぎり Agiri
あく Aku
あくあ Akua
あくえ Akue
あくこ Akuko
あくさ Akusa
あくた Akuta
あくび Akubi
あくまこ Akumako
あくみ Akumi
あくら Akura
あくり Akuri
あくる Akuru
あぐり Aguri
あぐる Aguru
あけ Ake
あけい Akei
あけお Akeo
あけか Akeka
あけき Akeki
あけこ Akeko
あけさ Akesa
あけさと Akesato
あけな Akena
あけね Akene
あけの Akeno
あけは Akeha
あけひ Akehi
あけび Akebi
あけほ Akeho
あけぼし Akeboshi
あけぼの Akebono
あけみ Akemi
あけみや Akemiya
あけむ Akemu
あけよ Akeyo
あけり Akeri
あける Akeru
あげつ Agetsu
あげは Ageha
あこ Ako
あこい Akoi
あこう Akou
あこがれ Akogare
あこと Akoto
あこな Akona
あこの Akono
あこみ Akomi
あこや Akoya
あさ Asa
あさい Asai
あさえ Asae
あさえだ Asaeda
あさお Asao
あさか Asaka
あさがお Asagao
あさき Asaki
あさぎ Asagi
あさぎり Asagiri
あさくら Asakura
あさこ Asako
あさご Asago
あささき Asasaki
あさし Asashi
あさじ Asaji
あさじょ Asajo
あさせ Asase
あさぢ Asadzi
あさと Asato
あさな Asana
あさなぎ Asanagi
あさね Asane
あさの Asano
あさは Asaha
あさひ Asahi
あさひこ Asahiko
あさび Asabi
あさふ Asafu
あさふき Asafuki
あさほ Asaho
あさみ Asami
あさみこ Asamiko
あさむ Asamu
あさめ Asame
あさや Asaya
あさゆ Asayu
あさゆき Asayuki
あさよ Asayo
あさら Asara
あさり Asari
あさわ Asawa
あざか Azaka
あざぶ Azabu
あざみ Azami
あざり Azari
あしえ Ashie
あしこ Ashiko
あした Ashita
あしたか Ashitaka
あしたこ Ashitako
あしな Ashina
あしの Ashino
あしほ Ashiho
あしゅ Ashu
あしゅな Ashuna
あしゅみ Ashumi
あしゅら Ashura
あしゅらこ Ashurako
あしゅり Ashuri
あしゅれい Ashurei
あしょう Ashou
あじあ Ajia
あじこ Ajiko
あじさ Ajisa
あじさい Ajisai
あじみ Ajimi
あじゅ Aju
あじゅき Ajuki
あじゅこ Ajuko
あじゅま Ajuma
あじゅみ Ajumi
あす Asu
あすあ Asua
あすい Asui
あすえ Asue
あすか Asuka
あすかこ Asukako
あすき Asuki
あすく Asuku
あすこ Asuko
あすと Asuto
あすな Asuna
あすなぎ Asunagi
あすなろ Asunaro
あすね Asune
あすの Asuno
あすは Asuha
あすひ Asuhi
あすび Asubi
あすほ Asuho
あすま Asuma
あすみ Asumi
あすむ Asumu
あすや Asuya
あすゆ Asuyu
あすゆき Asuyuki
あすよ Asuyo
あすら Asura
あすり Asuri
あする Asuru
あず Azu
あずい Azui
あずえ Azue
あずか Azuka
あずき Azuki
あずきよ Azukiyo
あずこ Azuko
あずこ Ozuko
あずさ Azusa
あずさこ Azusako
あずち Azuchi
あずな Azuna
あずね Azune
あずは Azuha
あずほ Azuho
あずま Azuma
あずみ Azumi
あずみの Azumino
あずむ Azumu
あずり Azuri
あせい Asei
あせな Asena
あせみ Asemi
あぜみ Azemi
あそう Asou
あそか Asoka
あその Asono
あそび Asobi
あそぶ Asobu
あそま Asoma
あそみ Asomi
あそら Asora
あそり Asori
あたえ Atae
あたか Ataka
あたこ Atako
あたた Atata
あたたか Atataka
あたみ Atami
あたり Atari
あたる Ataru
あだみ Adami
あち Achi
あちいこ Achiiko
あちか Achika
あちこ Achiko
あちゃ Acha
あちや Achiya
あちゅら Achura
あちり Achiri
あっき Akki
あっこ Akko
あっしゅ Asshu
あつ Atsu
あつえ Atsue
あつお Atsuo
あつか Atsuka
あつき Atsuki
あつこ Atsuko
あつさ Atsusa
あつし Atsushi
あつな Atsuna
あつね Atsune
あつの Atsuno
あつは Atsuha
あつひ Atsuhi
あつほ Atsuho
あつま Atsuma
あつみ Atsumi
あつむ Atsumu
あつめ Atsume
あつよ Atsuyo
あつわ Atsuwa
あづ Adzu
あづき Adzuki
あづさ Adzusa
あづさこ Adzusako
あづち Adzuchi
あづな Adzuna
あづは Adzuha
あづま Adzuma
あづみ Adzumi
あてな Atena
あてね Atene
あてん Aten
あでやか Adeyaka
あと Ato
あとこ Atoko
あとみ Atomi
あとむ Atomu
あとら Atora
あとり Atori
あど Ado
あどな Adona
あな Ana
あなか Anaka
あなこんだ Anakonda
あなご Anago
あなつ Anatsu
あなね Anane
あなはとり Anahatori
あなみ Anami
あなむ Anamu
あなり Anari
あなりあ Anaria
あなる Anaru
あなん Anan
あに Ani
あにい Anii
あにか Anika
あにさ Anisa
あにた Anita
あにま Anima
あにみ Animi
あにん Anin
あぬい Anui
あね Ane
あねい Anei
あねか Aneka
あねと Aneto
あねは Aneha
あねみ Anemi
あねむ Anemu
あねら Anera
あの Ano
あのあ Anoa
あのか Anoka
あのつ Anotsu
あのは Anoha
あのり Anori
あのん Anon
あはな Ahana
あはね Ahane
あば Aba
あひこ Ahiko
あひな Ahina
あひる Ahiru
あび Abi
あびす Abisu
あびひめ Abihime
あびる Abiru
あぴ Api
あふみ Afumi
あふる Afuru
あぶみ Abumi
あぶり Aburi
あぶりる Aburiru
あぷり Apuri
あべる Aberu
あほか Ahoka
あぽ Apo
あぽね Apone
あぽり Apori
あぽろ Aporo
あま Ama
あまえ Amae
あまか Amaka
あまがた Amagata
あまき Amaki
あまぎ Amagi
あまこ Amako
あまご Amago
あまじ Amaji
あませ Amase
あまだれ Amadare
あまち Amachi
あまつ Amatsu
あまてらす Amaterasu
あまな Amana
あまなつ Amanatsu
あまね Amane
あまの Amano
あまは Amaha
あまひ Amahi
あまほ Amaho
あまみ Amami
あまめ Amame
あまや Amaya
あまゆき Amayuki
あまよ Amayo
あまら Amara
あまり Amari
あまる Amaru
あまれ Amare
あまん Aman
あみ Ami
あみあ Amia
あみい Amii
あみえ Amie
あみか Amika
あみく Amiku
あみこ Amiko
あみこえ Amikoe
あみさ Amisa
あみだ Amida
あみな Amina
あみね Amine
あみの Amino
あみほ Amiho
あみぼし Amiboshi
あみや Amiya
あみゆ Amiyu
あみよ Amiyo
あみら Amira
あみり Amiri
あみりあ Amiria
あみりい Amirii
あみる Amiru
あみれ Amire
あみん Amin
あみー Ami-
あみーな Ami-na
あむ Amu
あむす Amusu
あむる Amuru
あむろ Amuro
あめ Ame
あめこ Ameko
あめじすと Amejisuto
あめな Amena
あめり Ameri
あめりあ Ameria
あも Amo
あもあ Amoa
あもえ Amoe
あもの Amono
あもゆ Amoyu
あもる Amoru
あもれ Amore
あもん Amon
あや Aya
あやあ Ayaa
あやい Ayai
あやうめ Ayaume
あやえ Ayae
あやお Ayao
あやか Ayaka
あやかぜ Ayakaze
あやかね Ayakane
あやが Ayaga
あやき Ayaki
あやぎ Ayagi
あやこ Ayako
あやさ Ayasa
あやじ Ayaji
あやせ Ayase
あやそら Ayasora
あやち Ayachi
あやちか Ayachika
あやつ Ayatsu
あやで Ayade
あやと Ayato
あやな Ayana
あやなみ Ayanami
あやね Ayane
あやの Ayano
あやのみや Ayanomiya
あやは Ayaha
あやはる Ayaharu
あやひ Ayahi
あやひめ Ayahime
あやび Ayabi
あやぶ Ayabu
あやべ Ayabe
あやほ Ayaho
あやぽん Ayapon
あやみ Ayami
あやむ Ayamu
あやめ Ayame
あやも Ayamo
あやや Ayaya
あやゆき Ayayuki
あやよ Ayayo
あやら Ayara
あやり Ayari
あやる Ayaru
あゆ Ayu
あゆい Ayui
あゆう Ayuu
あゆえ Ayue
あゆお Ayuo
あゆか Ayuka
あゆき Ayuki
あゆこ Ayuko
あゆさ Ayusa
あゆせ Ayuse
あゆた Ayuta
あゆち Ayuchi
あゆと Ayuto
あゆな Ayuna
あゆね Ayune
あゆの Ayuno
あゆは Ayuha
あゆひめ Ayuhime
あゆほ Ayuho
あゆま Ayuma
あゆみ Ayumi
あゆみこ Ayumiko
あゆみめ Ayumime
あゆむ Ayumu
あゆめ Ayume
あゆや Ayuya
あゆゆ Ayuyu
あゆら Ayura
あゆり Ayuri
あゆる Ayuru
あよ Ayo
あよこ Ayoko
あよしみ Ayoshimi
あよみ Ayomi
あより Ayori
あら Ara
あらい Arai
あらか Araka
あらき Araki
あらこ Arako
あらさ Arasa
あらし Arashi
あらた Arata
あらな Arana
あらは Araha
あらび Arabi
あらほ Araho
あらみ Arami
あらや Araya
あられ Arare
あらん Aran
あり Ari
ありあ Aria
ありあけ Ariake
ありあす Ariasu
ありい Arii
ありえ Arie
ありえい Ariei
ありえる Arieru
ありお Ario
ありか Arika
ありが Ariga
ありき Ariki
ありく Ariku
ありくる Arikuru
ありこ Ariko
ありさ Arisa
ありしあ Arishia
ありす Arisu
ありせ Arise
ありぜ Arize
ありそん Arison
ありっさ Arissa
ありつ Aritsu
ありつね Aritsune
ありと Arito
ありな Arina
ありね Arine
ありの Arino
ありは Ariha
ありひ Arihi
ありほ Ariho
ありま Arima
ありまのみこ Arimanomiko
ありみ Arimi
ありむ Arimu
ありめ Arime
ありや Ariya
ありゆ Ariyu
ありょう Aryou
ありよ Ariyo
ありり Ariri
ありりん Aririn
ありる Ariru
ありれい Arirei
ありん Arin
ある Aru
あるえ Arue
あるか Aruka
あるき Aruki
あるく Aruku
あるす Arusu
あるて Arute
あるでい Arudei
あると Aruto
あるな Aruna
あるは Aruha
あるば Aruba
あるび Arubi
あるふ Arufu
あるふぁ Arufa
あるま Aruma
あるみ Arumi
あるむ Arumu
あるも Arumo
あるる Aruru
あれ Are
あれい Arei
あれいな Areina
あれき Areki
あれな Arena
あれん Aren
あろあ Aroa
あろな Arona
あろは Aroha
あわ Awa
あわか Awaka
あわこ Awako
あわじ Awaji
あわせ Awase
あわづき Awadzuki
あわな Awana
あわね Awane
あわの Awano
あわみ Awami
あわゆき Awayuki
あわよ Awayo
あん An
あんあ An'a
あんあん An'an
あんい An'i
あんえ An'e
あんか Anka
あんき Anki
あんこ Anko
あんさ Ansa
あんざ Anza
あんざんこ Anzanko
あんざんし Anzanshi
あんしゃ Ansha
あんしん Anshin
あんじ Anji
あんじい Anjii
あんじぇ Anje
あんじぇりか Anjerika
あんじぇりーな Anjeri-na
あんじゅ Anju
あんじゅり Anjuri
あんず Anzu
あんずこ Anzuko
あんせ Anse
あんぜ Anze
あんづ Andzu
あんとんこ Antonko
あんど Ando
あんな Anna
あんなももか Annamomoka
あんに Anni
あんぬ Annu
あんね Anne
あんの Anno
あんび Anbi
あんま Anma
あんみ Anmi
あんゆ An'yu
あんよ An'yo
あんら Anra
あんり Anri
あんりこ Anriko
あんる Anru
あんれ Anre
あんれい Anrei
あんろ Anro
あーい A-i
あーさ A-sa
あーす A-su
い I
いあ Ia
いあい Iai
いあか Iaka
いあき Iaki
いあこ Iako
いある Iaru
いあん Ian
いいこ Iiko
いいな Iina
いいもん Iimon
いうこ Iuko
いうみ Iumi
いえ Ie
いえこ Ieko
いえな Iena
いえなきこ Ienakiko
いえり Ieri
いお Io
いおう Iou
いおえ Ioe
いおか Ioka
いおこ Ioko
いおな Iona
いおび Iobi
いおみ Iomi
いおり Iori
いおん Ion
いか Ika
いかい Ikai
いかこ Ikako
いかさ Ikasa
いかぜ Ikaze
いかみ Ikami
いかよ Ikayo
いかり Ikari
いかる Ikaru
いがのみこ Iganomiko
いき Iki
いきあ Ikia
いきえ Ikie
いきこ Ikiko
いきみ Ikimi
いきろ Ikiro
いく Iku
いくあ Ikua
いくえ Ikue
いくえつ Ikuetsu
いくえん Ikuen
いくお Ikuo
いくか Ikuka
いくこ Ikuko
いくさ Ikusa
いくじ Ikuji
いくと Ikuto
いくな Ikuna
いくね Ikune
いくの Ikuno
いくは Ikuha
いくび Ikubi
いくほ Ikuho
いくまつ Ikumatsu
いくみ Ikumi
いくむ Ikumu
いくめ Ikume
いくも Ikumo
いくや Ikuya
いくよ Ikuyo
いくら Ikura
いくり Ikuri
いくる Ikuru
いくれい Ikurei
いけな Ikena
いけの Ikeno
いけむ Ikemu
いげたあやこ Igetaayako
いこ Iko
いこい Ikoi
いこと Ikoto
いこな Ikona
いこま Ikoma
いこみ Ikomi
いこん Ikon
いさ Isa
いさえ Isae
いさお Isao
いさおこ Isaoko
いさか Isaka
いさき Isaki
いさぎ Isagi
いさこ Isako
いさご Isago
いさと Isato
いさな Isana
いさね Isane
いさほ Isaho
いさみ Isami
いさむ Isamu
いさむなおこ Isamunaoko
いさや Isaya
いさよ Isayo
いさり Isari
いざな Izana
いざなみ Izanami
いざよ Izayo
いざよい Izayoi
いし Ishi
いしい Ishii
いしえ Ishie
いしか Ishika
いしこ Ishiko
いしす Ishisu
いしず Ishizu
いしの Ishino
いしみ Ishimi
いすえ Isue
いすこ Isuko
いすず Isuzu
いすな Isuna
いすみ Isumi
いず Izu
いずえ Izue
いずか Izuka
いずき Izuki
いずこ Izuko
いずさ Izusa
いずな Izuna
いずは Izuha
いずほ Izuho
いずみ Izumi
いずみこ Izumiko
いずむ Izumu
いずも Izumo
いずよ Izuyo
いずる Izuru
いせ Ise
いせい Isei
いせえ Isee
いせこ Iseko
いせな Isena
いせみ Isemi
いせよ Iseyo
いせり Iseri
いそ Iso
いそえ Isoe
いそお Isoo
いそか Isoka
いそこ Isoko
いそな Isona
いそね Isone
いその Isono
いそべきょうこ Isobekyouko
いそみ Isomi
いそむ Isomu
いそら Isora
いたこ Itako
いたみ Itami
いたる Itaru
いたるこ Itaruko
いち Ichi
いちい Ichii
いちえ Ichie
いちお Ichio
いちか Ichika
いちき Ichiki
いちこ Ichiko
いちこうこ Ichikouko
いちご Ichigo
いちごひめ Ichigohime
いちさ Ichisa
いちじく Ichijiku
いちじょ Ichijo
いちず Ichizu
いちせ Ichise
いちと Ichito
いちな Ichina
いちにこ Ichiniko
いちね Ichine
いちの Ichino
いちは Ichiha
いちひめ Ichihime
いちほ Ichiho
いちま Ichima
いちみ Ichimi
いちや Ichiya
いちょう Ichou
いちよ Ichiyo
いちよう Ichiyou
いちようこ Ichiyouko
いちり Ichiri
いちる Ichiru
いちろ Ichiro
いっか Ikka
いっき Ikki
いっこう Ikkou
いっさ Issa
いっせい Issei
いっぽ Ippo
いつ Itsu
いつい Itsui
いつえ Itsue
いつか Itsuka
いつき Itsuki
いつきあさこ Itsukiasako
いつきれいこ Itsukireiko
いつきマリこ Itsukimariko
いつぎ Itsugi
いつく Itsuku
いつぐ Itsugu
いつこ Itsuko
いつな Itsuna
いつね Itsune
いつの Itsuno
いつは Itsuha
いつび Itsubi
いつほ Itsuho
いつみ Itsumi
いつむ Itsumu
いつめ Itsume
いつも Itsumo
いつや Itsuya
いつよ Itsuyo
いつる Itsuru
いつわ Itsuwa
いづ Idzu
いづえ Idzue
いづき Idzuki
いづこ Idzuko
いづこ IdzukoIzuko
いづな Idzuna
いづは Idzuha
いづほ Idzuho
いづみ Idzumi
いづみこ Idzumiko
いづむ Idzumu
いづる Idzuru
いであ Idea
いでか Ideka
いでほ Ideho
いと Ito
いとあ Itoa
いとい Itoi
いとえ Itoe
いとえこ Itoeko
いとお Itoo
いとか Itoka
いとこ Itoko
いとし Itoshi
いとじ Itoji
いとせ Itose
いとな Itona
いとね Itone
いとの Itono
いとは Itoha
いとま Itoma
いとみ Itomi
いとめ Itome
いとよ Itoyo
いとり Itori
いどむ Idomu
いな Ina
いなえ Inae
いなき Inaki
いなぎ Inagi
いなこ Inako
いなさ Inasa
いなせ Inase
いなつ Inatsu
いなば Inaba
いなほ Inaho
いなみ Inami
いなめ Iname
いなよ Inayo
いにこ Iniko
いにし Inishi
いにしえ Inishie
いぬい Inui
いぬき Inuki
いぬこ Inuko
いぬどう Inudou
いね Ine
いねこ Ineko
いねみ Inemi
いねよ Ineyo
いの Ino
いのえ Inoe
いのこ Inoko
いのち Inochi
いのり Inori
いのる Inoru
いは Iha
いはな Ihana
いはる Iharu
いばら Ibara
いひとみ Ihitomi
いびざ Ibiza
いふ Ifu
いふみ Ifumi
いぶ Ibu
いぶか Ibuka
いぶき Ibuki
いぶすき Ibusuki
いほ Iho
いほう Ihou
いほえ Ihoe
いほき Ihoki
いほこ Ihoko
いほな Ihona
いほの Ihono
いほみ Ihomi
いほり Ihori
いま Ima
いまえ Imae
いまこ Imako
いまひこ Imahiko
いまま Imama
いまみ Imami
いまめ Imame
いまゆ Imayu
いまよ Imayo
いまり Imari
いまる Imaru
いみ Imi
いみこ Imiko
いみの Imino
いめ Ime
いめこ Imeko
いもこ Imoko
いもり Imori
いやこ Iyako
いゆ Iyu
いゆい Iyui
いゆう Iyuu
いゆこ Iyuko
いゆみ Iyumi
いよ Iyo
いよか Iyoka
いよかん Iyokan
いよこ Iyoko
いよな Iyona
いよみ Iyomi
いより Iyori
いら Ira
いらこ Irako
いらつめ Iratsume
いらほ Iraho
いらん Iran
いり Iri
いりあ Iria
いりい Irii
いりえ Irie
いりか Irika
いりこ Iriko
いりさ Irisa
いりす Irisu
いりな Irina
いりね Irine
いりほ Iriho
いりまろ Irimaro
いりみ Irimi
いりや Iriya
いりゅう Iryuu
いりょう Iryou
いりん Irin
いる Iru
いるか Iruka
いるまり Irumari
いるみ Irumi
いるる Iruru
いれい Irei
いれいぬ Ireinu
いれん Iren
いろ Iro
いろか Iroka
いろと Iroto
いろどり Irodori
いろに Ironi
いろね Irone
いろの Irono
いろは Iroha
いろみ Iromi
いろむ Iromu
いろり Irori
いわ Iwa
いわい Iwai
いわうこ Iwauko
いわえ Iwae
いわき Iwaki
いわこ Iwako
いわさ Iwasa
いわな Iwana
いわね Iwane
いわみ Iwami
いん In
いんか Inka
いんこ Inko
いんし Inshi
いッか Ikka
いヴき Ivuki
うぃの Wino
うぃる Uiru
うぃん Uin
うい Ui
ういか Uika
ういこ Uiko
ういせ Uise
ういな Uina
ういね Uine
ういの Uino
ういは Uiha
ういば Uiba
ういひめ Uihime
ういめ Uime
ういや Uiya
ういゆ Uiyu
ういり Uiri
ういん Uin
うう Uu
ううな Uuna
ううみ Uumi
うえ Ue
うえお Ueo
うえみ Uemi
うおと Uoto
うおみ Uomi
うか Uka
うかこ Ukako
うかな Ukana
うき Uki
うきえ Ukie
うきこ Ukiko
うきな Ukina
うきふね Ukifune
うきほ Ukiho
うきみ Ukimi
うきょう Ukyou
うきよ Ukiyo
うぎ Ugi
うくう Ukuu
うくる Ukuru
うぐい Ugui
うぐる Uguru
うげつ Ugetsu
うこ Uko
うこう Ukou
うこん Ukon
うさ Usa
うさき Usaki
うさぎ Usagi
うさこ Usako
うさみ Usami
うさら Usara
うさり Usari
うしお Ushio
うしの Ushino
うしみ Ushimi
うしゃ Usha
うじこ Ujiko
うじゅか Ujuka
うす Usu
うすい Usui
うすね Usune
うず Uzu
うずこ Uzuko
うずら Uzura
うせん Usen
うた Uta
うたあき Utaaki
うたい Utai
うたうみ Utaumi
うたえ Utae
うたお Utao
うたか Utaka
うたげ Utage
うたこ Utako
うたさ Utasa
うたしろ Utashiro
うたすみ Utasumi
うたな Utana
うたね Utane
うたの Utano
うたは Utaha
うたひ Utahi
うたひめ Utahime
うたみ Utami
うたよ Utayo
うたり Utari
うたわ Utawa
うちこ Uchiko
うっちゃん Ucchan
うつか Utsuka
うつき Utsuki
うつぎ Utsugi
うつこ Utsuko
うつつ Utsutsu
うつつき Utsutsuki
うつほ Utsuho
うつみ Utsumi
うつら Utsura
うつり Utsuri
うつわ Utsuwa
うづか Udzuka
うづき Udzuki
うづみ Udzumi
うてな Utena
うてん Uten
うと Uto
うどんげ Udonge
うな Una
うなこ Unako
うなじ Unaji
うなみ Unami
うね Une
うねこ Uneko
うねび Unebi
うねみ Unemi
うねめ Uneme
うの Uno
うのえ Unoe
うのか Unoka
うのこ Unoko
うぶ Ubu
うぶか Ubuka
うぶき Ubuki
うぶは Ubuha
うぶみ Ubumi
うぶり Uburi
うま Uma
うまこ Umako
うみ Umi
うみあ Umia
うみえ Umie
うみか Umika
うみこ Umiko
うみと Umito
うみな Umina
うみね Umine
うみの Umino
うみは Umiha
うみひ Umihi
うみほ Umiho
うみみ Umimi
うめ Ume
うめお Umeo
うめか Umeka
うめき Umeki
うめぎく Umegiku
うめこ Umeko
うめちか Umechika
うめの Umeno
うめのじょ Umenojo
うめは Umeha
うめみ Umemi
うめや Umeya
うめよ Umeyo
うめよう Umeyou
うもん Umon
うや Uya
うゆ Uyu
うゆう Uyuu
うゆき Uyuki
うよ Uyo
うより Uyori
うら Ura
うらい Urai
うらえ Urae
うらか Uraka
うらく Uraku
うらこ Urako
うらじ Uraji
うらな Urana
うらは Uraha
うらら Urara
うららか Uraraka
うららこ Urarako
うらり Urari
うらる Uraru
うらん Uran
うり Uri
うりこ Uriko
うりゅ Uryu
うりん Urin
うる Uru
うるあ Urua
うるう Uruu
うるえ Urue
うるおい Uruoi
うるか Uruka
うるし Urushi
うるな Uruna
うるね Urune
うるは Uruha
うるま Uruma
うるみ Urumi
うるめ Urume
うるる Ururu
うるわ Uruwa
うれい Urei
うれか Ureka
うれし Ureshi
うれな Urena
うれほ Ureho
うれん Uren
うろ Uro
うろむ Uromu
うわ Uwa
うわこ Uwako
うん Un
うんかい Unkai
うんこ Unko
うんすく Unsuku
うんち Unchi
うんみ Unmi
うんも Unmo
えあ Ea
えあき Eaki
えあこ Eako
えあら Eara
えあり Eari
えい Ei
えいえ Eie
えいえん Eien
えいか Eika
えいき Eiki
えいく Eiku
えいこ Eiko
えいこう Eikou
えいご Eigo
えいさ Eisa
えいし Eishi
えいしゃ Eisha
えいしゅう Eishuu
えいしん Eishin
えいじ Eiji
えいじゅ Eiju
えいじゅん Eijun
えいじょう Eijou
えいす Eisu
えいず Eizu
えいせい Eisei
えいせん Eisen
えいた Eita
えいち Eichi
えいつ Eitsu
えいな Eina
えいは Eiha
えいひ Eihi
えいま Eima
えいみ Eimi
えいみぃ Eimii
えいむ Eimu
えいめ Eime
えいゆ Eiyu
えいら Eira
えいらん Eiran
えいり Eiri
えいりん Eirin
えいる Eiru
えいれ Eire
えいん Ein
えう Eu
えうた Euta
えうろ Euro
ええこ Eeko
えおこ Eoko
えおり Eori
えおりあ Eoria
えおん Eon
えか Eka
えかい Ekai
えかこ Ekako
えがお Egao
えき Eki
えきえ Ekie
えきこ Ekiko
えく Eku
えくか Ekuka
えくこ Ekuko
えくぼ Ekubo
えくみ Ekumi
えくよ Ekuyo
えくる Ekuru
えこ Eko
えこう Ekou
えこな Ekona
えさ Esa
えさこ Esako
えさひ Esahi
えしこ Eshiko
えしる Eshiru
えす Esu
えすぎ Esugi
えすてる Esuteru
えすみ Esumi
えずか Ezuka
えずき Ezuki
えずく Ezuku
えずめ Ezume
えせる Eseru
えち Echi
えちか Echika
えちこ Echiko
えちよ Echiyo
えっせ Esse
えつ Etsu
えつえ Etsue
えつお Etsuo
えつか Etsuka
えつき Etsuki
えつこ Etsuko
えつな Etsuna
えつの Etsuno
えつみ Etsumi
えつよ Etsuyo
えつりこ Etsuriko
えづき Edzuki
えでん Eden
えと Eto
えとこ Etoko
えとな Etona
えとわ Etowa
えどか Edoka
えどな Edona
えな Ena
えなこ Enako
えなつ Enatsu
えなみ Enami
えなる Enaru
えに Eni
えにい Enii
えにか Enika
えにし Enishi
えねん Enen
えの Eno
えのこ Enoko
えのん Enon
えはな Ehana
えば Eba
えひ Ehi
えひこ Ehiko
えひめ Ehime
えびこ Ebiko
えびす Ebisu
えびな Ebina
えびめ Ebime
えふ Efu
えふこ Efuko
えふみ Efumi
えべに Ebeni
えほ Eho
えほこ Ehoko
えぼし Eboshi
えぽ Epo
えま Ema
